iter	Passed	Remaining
417	2635	3669
418	2642	3664
419	2648	3657
420	2655	3651
421	2661	3645
422	2668	3639
423	2674	3633
424	2680	3626
425	2686	3620
426	2692	3613
427	2698	3606
428	2704	3600
429	2710	3592
430	2716	3586
431	2723	3581
432	2730	3574
433	2736	3568
434	2742	3562
435	2749	3556
436	2755	3550
437	2761	3543
438	2768	3538
439	2774	3531
440	2781	3526
441	2788	3519
442	2795	3514
443	2801	3507
444	2807	3501
445	2813	3494
446	2819	3488
447	2826	3482
448	2831	3474
449	2837	3468
450	2843	3461
451	2849	3454
452	2855	3448
453	2862	3442
454	2868	3435
455	2874	3428
456	2880	3422
457	2886	3416
458	2892	3409
459	2898	3402
460	2904	3396
461	2910	3389
462	2917	3383
463	2923	3377
464	2929	3370
465	2935	3364
466	2941	3357
467	2948	3351
468	2953	3344
469	2960	3338
470	2965	3331
471	2972	3324
472	2978	3318
473	2984	3311
474	2991	3306
475	2996	3299
476	3003	3292
477	3008	3285
478	3014	3278
479	3020	3271
480	3026	3265
481	3033	3259
482	3040	3254
483	3046	3247
484	3052	3241
485	3058	3234
486	3064	3228
487	3070	3221
488	3076	3215
489	3082	3208
490	3088	3201
491	3095	3195
492	3101	3189
493	3106	3182
494	3112	3175
495	3118	3169
496	3124	3162
497	3130	3155
498	3140	3152
499	3146	3146
500	3152	3139
501	3158	3132
502	3164	3127
503	3170	3120
504	3175	3113
505	3181	3105
506	3186	3098
507	3192	3091
508	3197	3084
509	3203	3077
510	3209	3071
511	3215	3064
512	3220	3057
513	3226	3050
514	3232	3043
515	3238	3037
516	3244	3031
517	3251	3025
518	3256	3018
519	3262	3011
520	3268	3005
521	3274	2998
522	3279	2991
523	3285	2984
524	3291	2977
525	3296	2970
526	3302	2964
527	3308	2957
528	3314	2951
529	3320	2944
530	3326	2937
531	3331	2930
532	3336	2923
533	3342	2916
534	3348	2910
535	3354	2903
536	3360	2896
537	3366	2890
538	3372	2884
539	3377	2877
540	3383	2870
541	3389	2864
542	3395	2857
543	3402	2852
544	3412	2849
545	3421	2845
546	3428	2839
547	3436	2834
548	3444	2829
549	3452	2824
550	3459	2819
551	3465	2812
552	3472	2806
553	3477	2799
554	3483	2793
555	3490	2787
556	3496	2780
557	3501	2773
558	3507	2766
559	3512	2760
560	3518	2753
561	3524	2747
562	3530	2740
563	3537	2734
564	3543	2728
565	3550	2722
566	3556	2715
567	3562	2709
568	3568	2703
569	3575	2696
570	3581	2690
571	3587	2684
572	3593	2678
573	3600	2671
574	3606	2665
575	3612	2658
576	3618	2652
577	3624	2646
578	3630	2640
579	3637	2633
580	3643	2627
581	3649	2621
582	3656	2615
583	3662	2608
584	3668	2602
585	3674	2595
586	3680	2589
587	3686	2583
588	3692	2576
589	3698	2570
590	3704	2563
591	3710	2557
592	3716	2550
593	3722	2544
594	3728	2537
595	3734	2531
596	3740	2525
597	3746	2518
598	3751	2511
599	3757	2504
600	3762	2498
601	3768	2491
602	3774	2485
603	3780	2478
604	3785	2471
605	3791	2465
606	3797	2458
607	3804	2452
608	3810	2446
609	3815	2439
610	3821	2432
611	3826	2426
612	3832	2419
613	3839	2413
614	3844	2406
615	3851	2400
616	3856	2394
617	3862	2387
618	3868	2381
619	3874	2374
620	3880	2368
621	3886	2361
622	3891	2355
623	3897	2348
624	3903	2342
625	3909	2335
626	3915	2329
627	3921	2322
628	3927	2316
629	3934	2310
630	3940	2304
631	3946	2297
632	3952	2291
633	3957	2284
634	3964	2278
635	3969	2271
636	3975	2265
637	3980	2258
638	3986	2252
639	3992	2245
640	3998	2239
641	4003	2232
642	4010	2226
643	4015	2220
644	4022	2213
645	4028	2207
646	4034	2201
647	4041	2195
648	4047	2188
649	4052	2182
650	4058	2175
651	4065	2169
652	4070	2163
653	4076	2156
654	4082	2150
655	4088	2143
656	4094	2137
657	4100	2131
658	4105	2124
659	4111	2117
660	4116	2111
661	4122	2104
662	4128	2098
663	4134	2092
664	4139	2085
665	4145	2078
666	4151	2072
667	4157	2066
668	4163	2059
669	4168	2053
670	4174	2046
671	4180	2040
672	4186	2033
673	4191	2027
674	4197	2021
675	4203	2014
676	4209	2008
677	4214	2001
678	4220	1995
679	4226	1988
680	4231	1982
681	4237	1975
682	4243	1969
683	4249	1963
684	4255	1957
685	4261	1950
686	4267	1944
687	4273	1937
688	4279	1931
689	4284	1925
690	4290	1918
691	4296	1912
692	4302	1906
693	4308	1899
694	4314	1893
695	4320	1886
696	4326	1880
697	4332	1874
698	4338	1868
699	4344	1861
700	4349	1855
701	4355	1848
702	4360	1842
703	4366	1835
704	4372	1829
705	4378	1823
706	4383	1816
707	4389	1810
708	4395	1803
709	4400	1797
710	4405	1790
711	4411	1784
712	4417	1778
713	4423	1771
714	4429	1765
715	4436	1759
716	4443	1753
717	4448	1747
718	4454	1740
719	4461	1734
720	4467	1728
721	4473	1722
722	4478	1715
723	4484	1709
724	4489	1703
725	4496	1696
726	4502	1690
727	4507	1684
728	4513	1677
729	4519	1671
730	4525	1665
731	4531	1658
732	4537	1652
733	4542	1646
734	4548	1640
735	4554	1633
736	4559	1627
737	4565	1620
738	4571	1614
739	4577	1608
740	4583	1602
741	4589	1595
742	4595	1589
743	4601	1583
744	4606	1576
745	4612	1570
746	4617	1564
747	4623	1557
748	4629	1551
749	4635	1545
750	4641	1539
751	4647	1532
752	4653	1526
